mro_code,mro_acc_code,mro_mer_code,mro_sys_code,mro_tran_code,mro_tran_curr_code,updated_at
2311,2452901,2442701,,,150,2024-08-07 07:05:08.091
2312,2452902,2442721,,,150,2024-08-07 07:05:08.091
2313,2452903,2442741,,,150,2024-08-07 07:05:08.091
2314,2452904,2442761,,,150,2024-08-07 07:05:08.091
2315,2452905,2442781,,,150,2024-08-07 07:05:08.091
2329,2452920,2443061,,,150,2024-08-07 07:05:08.091
2349,2457199,2443461,,,150,2024-08-07 07:05:08.091
2350,2457200,2443481,,,150,2024-08-07 07:05:08.091
2351,2457201,2443501,,,150,2024-08-07 07:05:08.091
2352,2457202,2443521,,,150,2024-08-07 07:05:08.091
2369,2457219,2443861,,,150,2024-08-07 07:05:08.091
2389,2459259,2444261,,,150,2024-08-07 07:05:08.091
2409,2463299,2444661,,,150,2024-08-07 07:05:08.091
2410,2463300,2444681,,,150,2024-08-07 07:05:08.091
2411,2463301,2444701,,,150,2024-08-07 07:05:08.091
2412,2463302,2444721,,,150,2024-08-07 07:05:08.091
2429,2463539,2445061,,,150,2024-08-07 07:05:08.091
2430,2463540,2445081,,,150,2024-08-07 07:05:08.091
2431,2463541,2445101,,,28,2024-08-07 07:05:08.091
2432,2463542,2445121,,,28,2024-08-07 07:05:08.091
